order_number,order_date,user_id,product_name,product_category,RSP,actual_product_price,quantity,order_total,discount_applied_currency
ORD-734362,17-05-2025 08:37,U10113,,Storage,"$189,00",$ 141.75,2,"€293,49","$94,50"
ORD-619088,2025/09/13 02:56,U10457,chair urban,Chairs,$129.99,$110.49,2,,39$
ORD-483749,2025/06/30 03:03,U10203,Ergo Desk,Desks,499€,$349.30,1,359$,"€149,70"
ORD-422532,2025-09-17 02:14:26,U10119,LAMP AURA,lighting,$ 59.90,"€47,92",1,$42.92,11.98
ORD-550557,2025/09/11 22:14,U10444,RUG COMFY,textiles ,150$,"€119,60",1,$119.60,29.90€
ORD-944848,2025/09/23 21:41,U10293,LAMP AURA,Light,59.90,41.93$,1,46.92€,"$17,97"
ORD-494329,11/06/2025 00:21,U10472,Comfy Rug,Textile,149.50,104.65,2,€214.29,89.70€
ORD-898118,2025-09-13T05:23:53Z,U10372,STOOL POP,chair,€ 49.99,47.49,1,"$57,48",$2.50
ORD-823230,2025-08-18 16:16:55,U10287,Ergo Desk,Desks,499.00$,424.15,2,848.30€,149.70
ORD-630822,2025-09-01 04:27:29,U10401,URBAN CHAIR,chair,€ 129.99,$110.49,3,326€,"€58,50"
ORD-929513,2025-08-07T07:46:52Z,,cozy couch,Sofas,$ 799.99,600€,2,1205$,"€400,00"
ORD-300183,2025/06/11 21:52,U10164,Aura Lamp,LIGHTING,"$59,90",$ 44.92,2,99.83,€29.96
ORD-983020,2025-06-02 20:06:20,U10445,mattress,Bed room,"$399,00","€299,25",1,309.24€,100$
ORD-264572,09/22/2025 05:34 AM,U10365,Urban Chair,Chairs,129.99$,$123.49,1,123.49,6.50€
ORD-418961,2025-09-17T11:20:54Z,U10463,Pop Stool,CHAIR ,49.99€,40€,3,$124.96,30.00
ORD-367825,30-09-2025 02:59,U10041,lamp,light ,$59.90,$ 44.92,3,144.75,$ 44.94
ORD-261654,17/05/2025 15:44,U10138,Stool Pop,CHAIR ,€49.99,35€,2,"$69,98",30.00
ORD-888117,2025/08/02 12:04,U10383,rug comfy,,150€,"$134,55",1,$ 144.54,"€14,95"
ORD-372642,21/09/2025 09:11,U10457,NORDIC TABLE,Tables,€ 349.00,$ 314.10,1,$314.10,"€34,90"
ORD-949231,28/05/2025 16:02,U10209,Couch Cozy,Sofas,€ 799.99,€639.99,1,644.98,160.00€
ORD-985662,14/09/2025 02:15,U10182,BEDFRAME OAK,bedroom,699$,$ 559.20,2,"€1113,40",$279.60
ORD-622469,03-06-2025 02:06,U10325,Cozy Couch,sofas,799.99€,$639.99,1,639.99,
ORD-448256,2025-10-14 23:11:15,U10181,MATTRESS AIR,BEDROOM,399.00,319$,1,$ 319.20,80$
ORD-123456,10/12/2025 12:02 AM,U10466,bookshelf slim,Storage  ,189.00,$141.75,2,283.50$,94.50
ORD-893503,2025-10-08 13:34:01,U10473,rug,TEXTILES,150€,112.12$,2,219.24,
ORD-916777,2025/06/16 01:36,U10187,mattress,bedroom,399€,379.05€,1,389€,19.95€
ORD-812307,2025-09-16T22:37:57Z,U10123,NORDIC TABLE,table ,349$,$ 331.55,2,658.10,$34.90
ORD-818789,22-09-2025 07:21,U10315,Mattress Air,bedroom,€ 399.00,"$319,20",2,643.39$,$ 159.60
ORD-517955,2025-08-29T17:53:16Z,U10299,COZY COUCH,Sofas,799.99,€ 599.99,2,"1,194.98€",400.00
ORD-850013,09-10-2025 19:13,U10100,Cozy Couch,sofa,€ 799.99,680€,2,"1,359.98€",240.00
ORD-146387,29/04/2025 23:24,U10471,lamp,lighting,60€,44.92$,1,44.92€,€14.98
ORD-774976,09/10/2025 10:24 PM,U10310,COZY COUCH,Sofa ,"€799,99",$ 719.99,1,€719.99,
ORD-931813,06/24/2025 07:24 PM,U10380,Table Nordic,Tables,349.00,€ 331.55,3,990$,
ORD-406102,2025/08/14 22:09,U10189,Ergo Desk,desks,$499.00,424€,2,848.30€,150$
ORD-267947,28-05-2025 04:55,U10049,ergo desk,Desks,499.00,424.15€,3,"€1277,44",224.55
